iter	Passed	Remaining
0	48	48507
1	48	24432
2	49	16383
3	49	12355
4	49	9944
5	50	8334
6	50	7188
7	51	6326
8	51	5650
9	51	5116
10	52	4676
11	52	4310
12	52	3999
13	53	3733
14	53	3502
15	53	3304
16	54	3125
17	54	2966
18	54	2827
19	55	2700
20	55	2585
21	55	2481
22	56	2386
23	56	2299
24	56	2218
25	57	2142
26	57	2078
27	58	2014
28	58	1955
29	58	1900
30	59	1848
31	59	1798
32	59	1752
33	60	1708
34	60	1668
35	60	1629
36	61	1591
37	61	1556
38	61	1523
39	62	1492
40	62	1462
41	62	1434
42	63	1406
43	63	1380
44	63	1355
45	64	1332
46	64	1310
47	64	1288
48	65	1266
49	65	1247
50	66	1228
51	66	1210
52	66	1193
53	67	1176
54	67	1160
55	67	1144
56	68	1127
57	68	1111
58	68	1095
59	69	1081
60	69	1068
61	69	1055
62	70	1043
63	70	1030
64	70	1018
65	71	1007
66	71	995
67	71	981
68	71	970
69	72	960
70	72	950
71	72	939
72	73	929
73	73	920
74	73	911
75	74	902
76	74	894
77	74	886
78	75	877
79	75	869
80	76	862
81	76	854
82	76	847
83	77	839
84	77	831
85	77	824
86	77	815
87	78	809
88	78	802
89	78	796
90	79	789
91	79	783
92	79	778
93	80	772
94	80	766
95	80	760
96	81	755
97	81	750
98	81	744
99	82	739
100	82	734
101	82	727
102	83	722
103	83	717
104	83	712
105	83	708
106	84	703
107	84	698
108	84	694
109	85	689
110	85	685
111	85	681
112	86	677
113	86	673
114	86	669
115	87	664
116	87	660
117	87	657
118	88	654
119	88	650
120	89	647
121	89	643
122	89	638
123	89	635
124	90	631
125	90	628
126	90	624
127	91	620
128	91	617
129	91	614
130	92	611
131	92	608
132	92	605
133	93	602
134	93	599
135	93	596
136	94	593
137	94	590
138	94	587
139	95	585
140	95	582
141	95	579
142	96	576
143	96	573
144	96	571
145	97	568
146	97	566
147	97	563
148	98	560
149	98	558
150	98	555
151	99	553
152	99	551
153	99	549
154	100	547
155	100	544
156	101	542
157	101	540
158	101	538
159	102	536
160	102	533
161	102	531
162	103	529
163	103	527
164	103	525
165	104	523
166	104	520
167	104	518
168	105	516
169	105	514
170	105	512
171	106	510
172	106	508
173	106	506
174	107	504
175	107	502
176	107	500
177	108	498
178	108	496
179	108	495
180	108	492
181	109	490
182	109	488
183	109	486
184	110	485
185	110	483
186	110	481
187	111	479
188	111	478
189	111	476
190	112	474
191	112	473
192	112	471
193	113	469
194	113	467
195	113	466
196	114	464
197	114	463
198	114	461
199	115	460
200	115	458
201	115	457
202	116	455
203	116	454
204	116	452
205	117	451
206	117	449
207	117	448
208	118	447
209	118	445
210	118	444
211	119	443
212	119	442
213	120	440
214	120	439
215	120	438
216	121	436
217	121	435
218	121	434
219	122	432
220	122	431
221	122	430
222	123	428
223	123	427
224	123	426
225	124	424
226	124	423
227	124	422
228	125	421
229	125	419
230	125	418
231	126	417
232	126	416
233	126	414
234	127	413
235	127	412
236	127	411
237	128	410
238	128	409
239	128	407
240	129	406
241	129	405
242	129	404
243	130	403
244	130	402
245	130	401
246	131	400
247	131	398
248	131	397
249	132	396
250	132	395
251	132	394
252	133	393
253	133	392
254	133	391
255	134	390
256	134	389
257	134	388
258	135	387
259	135	386
260	135	384
261	136	383
262	136	382
263	136	381
264	137	380
265	137	379
266	137	378
267	138	378
268	138	376
269	139	375
270	139	374
271	139	373
272	140	372
273	140	371
274	140	370
275	141	370
276	141	369
277	141	368
278	142	367
279	142	366
280	142	365
281	143	364
282	143	363
283	143	362
284	144	361
285	144	360
286	144	359
287	145	358
288	145	357
289	145	356
290	146	355
291	146	355
292	146	354
293	147	353
294	147	352
295	147	351
296	148	350
297	148	349
298	148	348
299	149	347
300	149	347
301	149	346
302	150	345
303	150	344
304	150	343
305	151	342
306	151	341
307	151	341
308	152	340
309	152	339
310	152	338
311	153	337
312	153	336
313	153	335
314	154	335
315	154	334
316	154	333
317	155	332
318	155	331
319	155	330
320	156	330
321	156	329
322	156	328
323	157	327
324	157	326
325	157	326
326	158	325
327	158	324
328	158	323
329	159	323
330	159	322
331	159	321
332	160	320
333	160	320
334	160	319
335	161	318
336	161	317
337	161	317
338	162	316
339	162	315
340	162	314
341	163	314
342	163	313
343	164	312
344	164	311
345	164	311
346	164	310
347	165	309
348	165	309
349	165	308
350	166	307
351	166	306
352	166	306
353	167	305
354	167	304
355	167	303
356	168	303
357	168	302
358	169	301
359	169	301
360	169	300
361	170	299
362	170	298
363	170	298
364	171	297
365	171	296
366	171	296
367	172	295
368	172	294
369	172	294
370	173	293
371	173	292
372	173	292
373	174	291
374	174	290
375	174	290
376	175	289
377	175	288
378	175	288
379	176	287
380	176	286
381	176	286
382	177	285
383	177	284
384	178	284
385	178	283
386	178	283
387	179	282
388	179	281
389	179	281
390	180	280
391	180	279
392	180	279
393	181	278
394	181	277
395	181	277
396	182	276
397	182	276
398	182	275
399	183	274
400	183	274
401	183	273
402	184	272
403	184	272
404	184	271
405	185	270
406	185	270
407	185	269
408	186	269
409	186	268
410	186	267
411	187	267
412	187	266
413	187	265
414	188	265
415	188	264
416	188	264
417	189	263
418	189	262
419	189	262
420	190	261
421	190	260
422	190	260
423	191	259
424	191	259
425	191	258
426	192	257
427	192	257
428	192	256
429	193	256
430	193	255
431	193	254
432	194	254
433	194	253
434	194	253
435	195	252
436	195	252
437	195	251
438	196	250
439	196	250
440	196	249
441	197	249
442	197	248
443	197	247
444	198	247
445	198	246
446	198	246
447	199	245
448	199	244
449	199	244
450	200	243
451	200	243
452	200	242
453	201	242
454	201	241
455	201	240
456	202	240
457	202	239
458	202	239
459	203	238
460	203	238
461	203	237
462	204	236
463	204	236
464	204	235
465	205	235
466	205	234
467	206	234
468	206	233
469	206	233
470	206	232
471	207	232
472	207	231
473	208	230
474	208	230
475	208	229
476	209	229
477	209	228
478	209	228
479	210	227
480	210	227
481	210	226
482	211	226
483	211	225
484	211	225
485	212	224
486	212	223
487	212	223
488	213	222
489	213	222
490	214	221
491	214	221
492	214	220
493	215	220
494	215	219
495	215	219
496	216	218
497	216	218
498	216	217
499	217	217
