iter	Passed	Remaining
0	47	47224
1	47	23789
2	48	15968
3	48	12055
4	48	9707
5	49	8146
6	49	7023
7	49	6180
8	50	5531
9	50	5012
10	51	4607
11	51	4256
12	52	3958
13	52	3696
14	52	3470
15	53	3271
16	53	3098
17	53	2942
18	54	2803
19	54	2680
20	55	2566
21	55	2471
22	55	2377
23	56	2292
24	56	2212
25	57	2140
26	57	2072
27	57	2010
28	58	1950
29	58	1896
30	59	1844
31	59	1796
32	59	1751
33	60	1708
34	60	1667
35	60	1629
36	61	1593
37	61	1558
38	61	1526
39	62	1498
40	62	1470
41	63	1443
42	63	1418
43	64	1398
44	64	1377
45	65	1353
46	65	1331
47	66	1309
48	66	1288
49	66	1268
50	67	1248
51	67	1231
52	68	1215
53	68	1198
54	68	1181
55	69	1165
56	69	1152
57	70	1137
58	70	1125
59	70	1111
60	71	1098
61	71	1084
62	72	1073
63	72	1060
64	72	1048
65	73	1036
66	73	1025
67	74	1014
68	74	1003
69	74	992
70	75	982
71	75	973
72	75	964
73	76	956
74	76	947
75	77	938
76	77	929
77	77	920
78	78	912
79	78	904
80	78	895
81	79	887
82	79	878
83	79	870
84	80	863
85	80	856
86	80	849
87	81	843
88	81	837
89	82	830
90	82	824
91	82	818
92	83	811
93	83	806
94	83	800
95	84	794
96	84	788
97	85	782
98	85	777
99	85	771
100	86	767
101	86	762
102	86	757
103	87	752
104	87	747
105	88	743
106	88	739
107	89	735
108	89	731
109	90	729
110	90	725
111	90	720
112	91	716
113	91	712
114	92	708
115	92	704
116	92	699
117	93	695
118	93	692
119	93	689
120	94	685
121	94	681
122	95	678
123	95	674
124	95	670
125	96	667
126	96	662
127	96	659
128	97	656
129	97	652
130	97	649
131	98	646
132	99	647
133	99	644
134	100	641
135	100	638
136	101	636
137	101	633
138	102	632
139	102	629
140	102	626
141	102	622
142	103	619
143	103	616
144	104	614
145	104	611
146	104	608
147	105	606
148	105	604
149	106	601
150	106	599
151	107	597
152	107	595
153	108	593
154	108	591
155	108	589
156	109	586
157	109	584
158	110	582
159	110	579
160	110	576
161	111	574
162	111	572
163	112	571
164	112	569
165	113	568
166	113	567
167	114	565
168	114	563
169	115	561
170	115	560
171	115	558
172	116	555
173	116	553
174	116	551
175	117	549
176	117	547
177	118	545
178	118	544
179	119	542
180	119	541
181	120	539
182	120	537
183	120	535
184	121	533
185	121	531
186	121	529
187	122	528
188	122	526
189	123	524
